Movie_count,Title,Phase,Year,MediaType,Poster_link,Hotstar_link,YTS_Link,Netflix_Link,AmznPrime_Link
18,The Defenders,The Defenders Saga,2017,show,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/series/TheDefenders.png,https://www.hotstar.com/in/shows/marvels-the-defenders/1260091248,,,
19,The Punisher (Season 1),The Defenders Saga,2017,show,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/series/ThePunisher.png,https://www.hotstar.com/in/shows/marvels-the-punisher/1260091274,,,
20,Jessica Jones (Season 2),The Defenders Saga,2018,show,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/series/JessicaJones.png,https://www.hotstar.com/in/shows/marvels-jessica-jones/1260089834,,,
21,Luke Cage (Season 2),The Defenders Saga,2018,show,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/series/LukeCage.png,https://www.hotstar.com/in/shows/marvels-luke-cage/1260091266,,,
22,Iron Fist (Season 2),The Defenders Saga,2018,show,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/series/IronFist.png,https://www.hotstar.com/in/shows/marvels-iron-fist/1260091270,,,
23,Daredevil (Season 3),The Defenders Saga,2018,show,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/series/Daredevil.png,https://www.hotstar.com/in/shows/marvels-daredevil/1260091261,,,
24,The Punisher (Season 2),The Defenders Saga,2019,show,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/series/ThePunisher.png,https://www.hotstar.com/in/shows/marvels-the-punisher/1260091274,,,
25,Jessica Jones (Season 3),The Defenders Saga,2019,show,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/series/JessicaJones.png,https://www.hotstar.com/in/shows/marvels-jessica-jones/1260089834,,,
26,Captain America: Civil War,Phase 3,2016,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/CaptainAmerica_CivilWar.png,https://www.hotstar.com/in/movies/captain-america-civil-war/1260016768,https://en.yts-official.biz/movies/captain-america-civil-war-2016/,,
27,Doctor Strange,Phase 3,2016,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/DoctorStrange.png,https://www.hotstar.com/in/movies/doctor-strange/1260018179,https://en.yts-official.biz/movies/doctor-strange-2016/,,
28,Guardians of the Galaxy Vol. 2,Phase 3,2017,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/GOG_vol2.png,https://www.hotstar.com/in/movies/guardians-of-the-galaxy-vol-2/1260018295,https://en.yts-official.biz/movies/guardians-of-the-galaxy-vol-2-2017/,,
29,Spider-Man: Homecoming,Phase 3,2017,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/SpiderMan_Homecoming.png,https://www.hotstar.com/in/movies/spider-man-homecoming/1271667616,https://en.yts-official.biz/movies/spider-man-homecoming-2017/,https://www.netflix.com/title/80166369,
30,Thor: Ragnarok,Phase 3,2017,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/Thor_Ragnarok.png,https://www.hotstar.com/in/movies/thor-ragnarok/1660010577,https://en.yts-official.biz/movies/thor-ragnarok-2017/,,
31,Black Panther,Phase 3,2018,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/BlackPanther.png,https://www.hotstar.com/in/movies/black-panther/1660010672,https://en.yts-official.biz/movies/black-panther-2018/,,
32,Avengers: Infinity War,Phase 3,2018,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/Avengers_InfinityWar.png,https://www.hotstar.com/in/movies/avengers-infinity-war/1660010677,https://en.yts-official.biz/movies/avengers-infinity-war-2018/,,
33,Ant-Man and the Wasp,Phase 3,2018,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/AntMan_and_The_Wasp.png,https://www.hotstar.com/in/movies/ant-man-and-the-wasp/1660010696,https://en.yts-official.biz/movies/ant-man-and-the-wasp-2018/,,
34,Captain Marvel,Phase 3,2019,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/CaptainMarvel.png,https://www.hotstar.com/in/movies/captain-marvel/1260014878,https://en.yts-official.biz/movies/captain-marvel-2019/,,
35,Avengers: Endgame,Phase 3,2019,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/Avengers_Endgame.png,https://www.hotstar.com/in/movies/avengers-endgame/1260013556,https://en.yts-official.biz/movies/avengers-endgame-2019/,,
36,Spider-Man: Far From Home,Phase 3,2019,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/SpiderMan_FarFromHome.png,https://www.hotstar.com/in/movies/spider-man-far-from-home/1271663449,https://en.yts-official.biz/movies/spider-man-far-from-home-2019/,https://www.netflix.com/title/81055822,
S01,Spider-Man,Raimi's Universe,2002,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/spiderman.png,https://www.hotstar.com/in/movies/spider-man-2002/1271668105,https://en.yts-official.biz/movies/spider-man-2002/,,
S02,Spider-Man 2,Raimi's Universe,2004,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/spiderman_2.png,https://www.hotstar.com/in/movies/spider-man-2-2004/1271668594,https://en.yts-official.biz/movies/spider-man-2-2004/,https://www.netflix.com/title/60036230,
S03,Spider-Man 3,Raimi's Universe,2007,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/spiderman_3.png,https://www.hotstar.com/in/movies/spider-man-3-2007/1271670452,https://en.yts-official.biz/movies/spider-man-3-2007/,,
S04,The Amazing Spider-Man,Amazing Spider-Man's Universe,2012,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/TheAmazingSpiderMan.png,https://www.hotstar.com/in/movies/the-amazing-spider-man/1271644420,https://en.yts-official.biz/movies/the-amazing-spider-man-2012/,https://www.netflix.com/title/70208599,
S05,The Amazing Spider-Man 2,Amazing Spider-Man's Universe,2014,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/TheAmazingSpiderMan_2.png,https://www.hotstar.com/in/movies/the-amazing-spider-man-2/1271644422,https://en.yts-official.biz/movies/the-amazing-spider-man-2-2014/,https://www.netflix.com/title/70293702,
37,WandaVision,Phase 4,2021,show,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/series/Wandavision.png,https://www.hotstar.com/in/shows/wandavision/1260051344,,,
38,The Falcon and the Winter Soldier,Phase 4,2021,show,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/series/TheFalcon_And_TheWinterSoldier.png,https://www.hotstar.com/in/shows/the-falcon-and-the-winter-soldier/1260055670,,,
39,Loki (Season 1),Phase 4,2021,show,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/series/Loki.png,https://www.hotstar.com/in/shows/loki/1260063451,,,
